"member_casual","day_of_week","total_rides","avg_ride_mins","day_order"
"casual","Monday","219232","19.70",1
"casual","Tuesday","216926","17.62",2
"casual","Wednesday","212744","16.36",3
"casual","Thursday","247893","17.45",4
"casual","Friday","306463","19.60",5
"casual","Saturday","395595","22.40",6
"casual","Sunday","316953","23.10",7
"member","Monday","493322","11.76",1
"member","Tuesday","552529","11.85",2
"member","Wednesday","540212","11.63",3
"member","Thursday","565177","11.73",4
"member","Friday","518551","12.14",5
"member","Saturday","439876","13.30",6
"member","Sunday","374535","13.45",7
