"member_casual","start_hour","total_rides"
"casual","0","36762"
"casual","1","23492"
"casual","2","15667"
"casual","3","8694"
"casual","4","6941"
"casual","5","11009"
"casual","6","25696"
"casual","7","47925"
"casual","8","68010"
"casual","9","68273"
"casual","10","82449"
"casual","11","105312"
"casual","12","123711"
"casual","13","126735"
"casual","14","133239"
"casual","15","148055"
"casual","16","168789"
"casual","17","183262"
"casual","18","156921"
"casual","19","116407"
"casual","20","83803"
"casual","21","71204"
"casual","22","59981"
"casual","23","43469"
"member","0","31391"
"member","1","19107"
"member","2","11430"
"member","3","7520"
"member","4","8606"
"member","5","33525"
"member","6","99153"
"member","7","196413"
"member","8","252034"
"member","9","163882"
"member","10","141036"
"member","11","165364"
"member","12","186824"
"member","13","181968"
"member","14","184831"
"member","15","232972"
"member","16","328673"
"member","17","375149"
"member","18","290116"
"member","19","200336"
"member","20","138362"
"member","21","107972"
"member","22","78612"
"member","23","48926"
